#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,PORTAL,TIER-LEVEL,COUNT
1,Connor Gal,TEM,0.929,0.929,135.7,0,0,0,0,0,6.2,0,39.8,0,1.9,0,86.5,-86.5,8.8,64.3,3,3,4.3,2,2.3,0.857,0.3,0.7,0.5,0,0,0,0,0,0,0,0.3,0,0,0,,0.0,30.4,53.1,6-4,GF,Sr,AAC,25-26,26,WING,0,High-Major,FALSE
2,Jeremiah Jacobs,HEART,1,1,100,0,43,20.5,0,0,0,0,29.9,0,2,200,72.8,127.2,3.3,63.3,1,3,4,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0.0,0.0,35.0,6-8,GF,Fr,MAAC,25-26,26,WING,0,Low-Major,FALSE
3,Evan Smith,UNC,0.714,0.667,141.7,33.6,33,33.2,71.4,0,0,0,30.2,24.8,2.3,181.8,73.4,108.4,9.5,57.6,5,1.6,1.4,0.4,0.6,0.667,0,0,0,0.6,0.8,0.75,0.4,0.6,1,0.6,0,0,0,0.4,,133.3,0.0,45.8,6-3,G,Jr,ACC,25-26,26,GUARD,0,Power 5,FALSE
4,James Goodis,BAYL,1.25,1.25,200,0,0,0,0,0,19.2,0,17,0,2.5,250,45.5,204.5,5.5,56.7,1,5,5,2,2,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,,0.0,50.0,81.3,6-0,G,Jr,B12,25-26,26,GUARD,0,Power 5,FALSE
5,Dominick LaDuca,UNH,1.333,1.333,200,15,0,7.6,0,0,7.1,0,17.3,0,2.7,256.3,77.7,178.6,7.3,55.3,3,2.7,2.7,1,1,1,0.7,0.7,1,0,0,0,0.3,0,0.3,0,0.3,0,0,0.3,,0.0,70.0,85.7,5-7,G,Fr,NEC,25-26,26,GUARD,0,Low-Major,FALSE
6,Julian Gabbidon,USNA,0.808,0.75,175,36.8,15.2,24.9,0,0,0,0,32.1,0,2,177.5,91.5,86,7,54.6,6,1.3,1.3,0.5,0.7,0.75,0,0,0,0.3,0.3,1,0.3,0.2,0.5,0,0,0,0,0,,42.9,0.0,42.6,6-2,G,Jr,Patriot,25-26,26,GUARD,0,Low-Major,FALSE
7,Chris Baudreau,UNR,1,1,100,35.7,0,15.5,0,0,0,0,26.4,0,2,0,93.7,-93.7,3,54.2,2,2,2,1,1,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,,0.0,0.0,35.0,6-9,PF,Fr,MWC,25-26,26,FORWARD,0,High-Major,FALSE
8,Nick Randall,COLO,1,1,100,0,49.4,28.6,0,0,0,0,25,0,2,200,75.9,124.1,2,52.3,2,1,1,0.5,0.5,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,,0.0,0.0,35.0,6-8,F,So,B12,25-26,26,FORWARD,0,Power 5,FALSE
9,Gus Hurlburt,NWU,1.026,1,200,35.1,0,14.6,0,0,0,0,22.9,0,4,227.8,93.5,134.4,3.5,52.2,2,2,2,0.5,0.5,1,0,0,0,1,1,1,0.5,0,0.5,0,0,0,0,0,,200.0,0.0,65.9,6-9,F,Jr,B10,25-26,26,FORWARD,0,Power 5,FALSE
10,C.J. Williams,AUB,1.5,1.5,200,0,0,0,77.9,0,0,0,12,32.9,3,270.5,106,164.5,4.3,52.1,3,1.3,1,0.3,0.3,1,0.3,0.3,1,0,0,0,0,0,0,0.7,0,0,0,0,,0.0,100.0,94.0,6-2,G,Sr,SEC,25-26,26,GUARD,0,Power 5,FALSE
11,DeAndre Jones,KENT,0.943,1,150,22,33.3,28.4,10.5,5.9,1.7,8.3,25.6,-1,2.1,167.3,82.7,84.7,32.5,52.1,5,5.8,6,2.8,2.8,1,0,0,0,0.4,0.8,0.5,1,2,3,0.2,0.2,0.4,0.2,0.4,1.00,28.6,0.0,40.9,6-8,F,Fr,MAC,25-26,26,FORWARD,0,Mid-Major,FALSE
12,Tito Deng,JAC,0,0,0,0,0,0,0,0,52.3,0,0,0,0,0,15.1,-15.1,1,50.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,6-11,F,Jr,A-SUN,25-26,26,FORWARD,0,Low-Major,FALSE
13,Jake Shapiro,TULAN,1,1,133.3,0,27.1,13,0,0,0,0,30.4,0,2,45.1,114.3,-69.1,4.5,50.8,4,1.3,1.5,0.5,0.8,0.667,0.5,0.8,0.667,0,0,0,0,0.3,0.3,0,0,0,0,0,,0.0,100.0,70.7,6-1,G,Jr,AAC,25-26,26,GUARD,0,High-Major,FALSE
14,Hugo Maton,UNCA,1,1,133.3,33.6,0,16.4,30,0,0,0,19.8,9.8,2,217,91.3,125.7,6.8,50.1,2,3.5,3,1,1.5,0.667,1,1.5,0.667,0,0,0,1,0,1,0.5,0,0,0,0,,0.0,100.0,74.2,6-2,G,Fr,BSC,25-26,26,GUARD,0,Low-Major,FALSE
15,Brennan Ramirez,BOISE,1.5,1.5,200,0,0,0,0,0,0,0,17.6,0,3,300,97.3,202.7,2.3,50,2,1.5,1.5,0.5,0.5,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,95.0,6-2,G,Sr,MWC,25-26,26,GUARD,0,High-Major,FALSE
16,Ian Sabourin,XAV,1.5,1.5,200,17.1,0,8.7,0,0,0,0,15.6,0,3,229.7,108.3,121.4,5.5,49.8,5,1.2,1.2,0.4,0.4,1,0.4,0.4,1,0,0,0,0.2,0,0.2,0,0,0,0,0,,0.0,100.0,94.5,6-4,GF,Sr,Big East,25-26,26,WING,0,Power 5,FALSE
17,Riley Saunders,NDSU,1.071,1.071,142.9,0,19,10,31.9,12.5,0,0,28.8,2.4,2.1,172.9,89.5,83.4,12.3,49.6,6,2.2,2.5,0.8,1.2,0.714,0.8,1.2,0.714,0,0,0,0,0.3,0.3,0.3,0,0,0.2,0,1.50,0.0,100.0,76.3,6-0,G,Fr,Summit,25-26,26,GUARD,0,Low-Major,FALSE
18,Brandon Dwyer,FGCU,1,1,133.3,0,0,0,0,0,0,0,25,0,2,200.7,85.7,115.1,3.8,48.3,2,2.5,3,1,1.5,0.667,1,1.5,0.667,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,74.2,6-3,G,Sr,A-SUN,25-26,26,GUARD,0,Low-Major,FALSE
19,Porter Ihnen,SODAK,1.005,1.056,250,30.3,32.5,31.3,9.4,9.1,2.1,0,18.8,-1.3,2.2,182.1,105.4,76.7,24.5,46.9,4,6.3,5,2.3,2.3,1,0.3,0.3,1,0.3,0.5,0.5,1.8,1.5,3.3,0.3,0.3,0,0.3,0.3,1.00,21.7,13.0,70.8,6-6,F,Fr,Summit,25-26,26,FORWARD,0,Low-Major,FALSE
